Genes,TPM
0610009b22rik,31.121931
0610010f05rik,13.5321535
0610010k14rik,149.17668299999997
0610012g03rik,50.3949
0610030e20rik,4.861402
0610037l13rik,57.11020050000001
0610040j01rik,2.985989
1110002e22rik,0.0588212
1110004f10rik,174.86415199999996
1110008l16rik,13.037969
1110008p14rik,50.1870835
1110012l19rik,19.82885
1110017d15rik,0.62478819882
1110025l11rik,0.0
1110032a03rik,15.552421000000002
1110032f04rik,2.04494
1110038f14rik,42.713184999999996
1110051m20rik,27.872927
1110057p08rik,0.0
1110059e24rik,38.474076000000004
1110059g10rik,16.019021000000002
1110065p20rik,61.00643
1190002n15rik,13.2097
1190005i06rik,2.853861
1190007i07rik,22.467507
1300017j02rik,8.3756057
1500009c09rik,0.144111
1500009l16rik,23.02589
1500011b03rik,48.95027
1500015o10rik,0.0786145
1520401a03rik,0.0
1600002k03rik,12.7085
1600012h06rik,25.1165536
1600014c10rik,6.505579549999998
1600014c23rik,0.594512
1600015i10rik,0.0
1600029o15rik,0.0950407
1700001c02rik,0.0
1700001c19rik,0.06582879999999999
1700001f09rik,0.0
1700001j03rik,0.09966860000000001
1700001j11rik,0.00552285
1700001k19rik,0.402535
1700001l19rik,0.473963
1700001o22rik,1.1447484
1700001p01rik,0.273751
1700003e16rik,2.0269060000000003
1700003f12rik,4.3581605
1700003h04rik,0.0
1700003n22rik,0.0
1700006a11rik,0.0
1700007e05rik,0.018055900000000003
1700007k13rik,0.85441
1700008o03rik,1.0674593
1700008p02rik,0.0
1700009n14rik,0.04486225
1700010b08rik,0.0504717
1700010i14rik,1.093807
1700010n08rik,0.0
1700011l22rik,0.0154704
1700011m02rik,0.0
1700012a03rik,0.0
1700012b07rik,0.0
1700012b09rik,0.0
1700012p22rik,0.0
1700013f07rik,0.05929930000000001
1700013g24rik,0.0
1700013h16rik,0.1626
1700014d04rik,0.0924532
1700015f17rik,0.301056
1700015g11rik,0.0
1700016c15rik,0.0483754
1700016d06rik,0.183693
1700016h13rik,0.0446063
1700016k19rik,0.421185
1700017b05rik,28.7334955
1700017d01rik,0.0
1700017n19rik,0.0
1700018b08rik,0.0
1700018f24rik,0.0007381
1700018g05rik,0.0
1700018m17rik,0.31572300000000003
1700019a02rik,0.0519875
1700019d03rik,0.44920020000000005
1700019m22rik,0.0
1700019n19rik,0.035892900000000005
1700020a23rik,0.1989605
1700020d05rik,2.917825
1700020l24rik,2.65374
1700020n01rik,0.0
1700020n15rik,0.0415853
1700021f05rik,38.23558800000001
1700021f07rik,0.0
1700022a21rik,0.0
1700022i11rik,0.08061410000000001
1700023f06rik,0.29897
1700024b05rik,0.197416
1700024g13rik,0.0423909
1700024j04rik,0.09548774999999997
1700024p04rik,0.0
1700025b11rik,0.0
1700025c18rik,0.0
1700025f22rik,0.0
1700025g04rik,24.4366585
1700028b04rik,0.0731295
1700028j19rik,0.8896328000000001
1700028k03rik,0.0222041
1700028p14rik,0.0
1700029f12rik,0.05513805
1700029h14rik,0.0
1700029i15rik,0.9957765
1700029j07rik,0.931883
1700029p11rik,0.03521115
1700030c10rik,3.3377705
1700030j22rik,1.1501169999999998
1700030k09rik,4.8449505
1700031f05rik,0.0
1700031m16rik,0.0
1700034e13rik,0.0470039
1700034i23rik,0.00650174
1700034j05rik,0.0
1700037c18rik,3.6602095
1700037h04rik,98.60002
1700040f15rik,0.0
1700042g07rik,0.0
1700047i17rik2,0.0
1700049e17rik1,0.00103251
1700049e17rik2,0.14197255
1700049l16rik,0.0
1700056e22rik,5.011635
1700057g04rik,0.1853235
1700061g19rik,0.1011316
1700063k16rik,0.153647
1700064h15rik,0.0
1700065i16rik,0.0
1700066b19rik,0.145535
1700066m21rik,13.451285
1700067k01rik,0.54706095
1700067p10rik,0.0
1700069l16rik,0.0
1700071k01rik,0.0
1700073e17rik,0.0
1700074p13rik,0.0
1700080e11rik,0.0
1700080o16rik,0.0
1700084j12rik,0.0219194
1700084m14rik,0.0
1700086d15rik,0.0
1700086l19rik,0.184906
1700088e04rik,3.2022159001832686
1700091h14rik,0.0
1700092m07rik,0.8363524999999999
1700093k21rik,0.02668815
1700102p08rik,0.5056795999999999
1700109h08rik,1.47166285
1700113h08rik,0.0
1700122o11rik,0.0
1700123k08rik,0.0
1700123l14rik,0.0
1700123o20rik,49.528694
1700125h20rik,0.02387385
1700128f08rik,0.06089550000000001
1700129c05rik,0.0
1810009a15rik,201.600021
1810009j06rik,0.0
1810010d01rik,0.360318
1810010h24rik,0.923439
1810013l24rik,35.53255
1810014b01rik,6.176740099999999
1810018f18rik,0.0
1810022k09rik,300.67589100000004
1810024b03rik,1.2287709999999998
1810030o07rik,17.721049999999995
1810037i17rik,79.7612
1810043g02rik,19.832269399999998
1810046k07rik,0.0
1810049j17rik,34.0701
1810055g02rik,46.49370149999999
1810062g17rik,0.388185
1810065e05rik,0.0
2010003k11rik,0.0
2010005h15rik,0.149111
2010010a06rik,0.0
2010106e10rik,0.0
2010109a12rik,0.543578
2010109i03rik,0.285975
2010111i01rik,14.0419521
2010300c02rik,0.579747
2010315b03rik,2.3706395
2200002d01rik,22.940775
2200002j24rik,0.0
2210010c04rik,0.0
2210011c24rik,1.510916
2210016f16rik,14.1454
2210016l21rik,28.995755000000006
2210017i01rik,0.101852
2210407c18rik,0.0
2210408i21rik,3.250564
2210409e12rik,0.575846
2210418o10rik,3.9578553
2300002m23rik,0.0
2300003k06rik,0.0
2300009a05rik,13.808262
2310002l09rik,0.298138
2310003l06rik,0.0
2310007b03rik,0.268052
2310009b15rik,36.021102500000005
2310011j03rik,44.3971
2310022a10rik,24.38556850123821
2310022b05rik,157.01100000000002
2310030g06rik,1.9323905
2310033p09rik,24.6797
2310034c09rik,0.0
2310034g01rik,1.0109050000000002
2310039h08rik,35.65285
2310046k23rik,0.0
2310050c09rik,0.0
2310057j18rik,0.01397385
2310057m21rik,18.9348395
2310057n15rik,0.0
2310061i04rik,29.700464
2310061n02rik,0.0
2310079g19rik,0.0
2410002f23rik,42.74036208
2410004b18rik,35.189524
2410004p03rik,0.404179
2410015m20rik,153.68842
2410024n13rik,0.00545589
2410131k14rik,8.775195
2410137m14rik,0.0523403
2410141k09rik,0.15350015
2510002d24rik,11.324860000000001
2510009e07rik,11.723025
2510039o18rik,47.5938
2610001j05rik,74.26267
2610002m06rik,6.9783800000000005
2610005l07rik,30.8356
2610008e11rik,8.468782699999998
2610021a01rik,14.016067600000001
2610024d14rik,0.0
2610028h24rik,0.0603982
2610042l04rik,0.30367583000000004
2610044o15rik8,18.5903155
2610301b20rik,15.0015145
2610318n02rik,102.680669
2610507b11rik,57.997353
2610528a11rik,17.6966
2610528j11rik,1.02065
