gene,tpm
0610009B22Rik,20.324584
0610010F05Rik,13.60368
0610010K14Rik,146.45551599999996
0610012G03Rik,51.0894
0610030E20Rik,4.961722000000001
0610037L13Rik,57.025595
0610040J01Rik,0.12789
1110002E22Rik,0.00752725
1110004F10Rik,83.2165466
1110008L16Rik,6.4177753
1110008P14Rik,49.713291
1110012L19Rik,19.5736
1110017D15Rik,0.51024265
1110025L11Rik,0.0
1110032A03Rik,3.9433584
1110032F04Rik,0.0
1110038F14Rik,32.402868
1110051M20Rik,27.272168
1110057P08Rik,0.0
1110059E24Rik,29.857919
1110059G10Rik,6.780703000000001
1110065P20Rik,59.49488
1190002N15Rik,8.22165
1190005I06Rik,1.523854
1190007I07Rik,9.161117
1300017J02Rik,0.0130438
1500009C09Rik,0.0
1500009L16Rik,0.0345655
1500011B03Rik,4.744311
1500015O10Rik,0.0668887
1520401A03Rik,0.0
1600002K03Rik,11.9603
1600012H06Rik,25.803799199999997
1600014C10Rik,6.972874099999999
1600014C23Rik,0.0
1600015I10Rik,0.0
1600029O15Rik,0.0990215
1700001C02Rik,0.0
1700001C19Rik,0.00852129
1700001F09Rik,0.0
1700001J03Rik,0.079651
1700001J11Rik,0.0110457
1700001K19Rik,0.249137
1700001L19Rik,0.040293999999999996
1700001O22Rik,0.8041465
1700001P01Rik,0.382141
1700003E16Rik,1.913548
1700003F12Rik,3.967427
1700003H04Rik,0.0
1700003N22Rik,0.0
1700006A11Rik,0.0
1700007E05Rik,0.036111800000000006
1700007K13Rik,0.45932500000000004
1700008O03Rik,0.231618
1700008P02Rik,0.0
1700009N14Rik,0.0
1700010B08Rik,0.0671698
1700010I14Rik,0.771383
1700010N08Rik,0.0
1700011L22Rik,0.0
1700011M02Rik,0.0
1700012A03Rik,0.0
1700012B07Rik,0.0
1700012B09Rik,0.0
1700012P22Rik,0.0
1700013F07Rik,0.10071000000000001
1700013G24Rik,0.0
1700013H16Rik,0.0
1700014D04Rik,0.0157435
1700015F17Rik,0.41800699999999996
1700015G11Rik,0.0
1700016C15Rik,0.0411233
1700016D06Rik,0.148321
1700016H13Rik,0.0
1700016K19Rik,0.0
1700017B05Rik,28.530659999999997
1700017D01Rik,0.0
1700017N19Rik,0.0
1700018B08Rik,0.0
1700018F24Rik,0.0014762
1700018G05Rik,0.0
1700018M17Rik,0.526259
1700019A02Rik,0.103975
1700019D03Rik,0.028375400101520003
1700019M22Rik,0.0
1700019N19Rik,0.0
1700020A23Rik,0.274701
1700020D05Rik,3.12647
1700020L24Rik,0.899923
1700020N01Rik,0.0
1700020N15Rik,0.0
1700021F05Rik,38.063622
1700021F07Rik,0.0
1700022A21Rik,0.0
1700022I11Rik,0.03393259999999999
1700023F06Rik,0.0
1700024B05Rik,0.190534
1700024G13Rik,0.0
1700024J04Rik,0.10265899999999999
1700024P04Rik,0.0
1700025B11Rik,0.0
1700025C18Rik,0.0
1700025F22Rik,0.0
1700025G04Rik,23.865062
1700028B04Rik,0.0
1700028J19Rik,0.8844327000000001
1700028K03Rik,0.023674
1700028P14Rik,0.0
1700029F12Rik,0.0366068
1700029H14Rik,0.0
1700029I15Rik,0.708113
1700029J07Rik,0.269887
1700029P11Rik,0.0417048
1700030C10Rik,0.22576500000000002
1700030J22Rik,0.848636
1700030K09Rik,4.89639
1700031F05Rik,0.0
1700031M16Rik,0.0
1700034E13Rik,0.0940078
1700034I23Rik,0.0
1700034J05Rik,0.0
1700037C18Rik,2.3145800000000003
1700037H04Rik,97.949855
1700040F15Rik,0.0
1700042G07Rik,0.0
1700047I17Rik2,0.0
1700049E17Rik1,0.00206502
1700049E17Rik2,0.046688099999999996
1700049L16Rik,0.0
1700056E22Rik,4.7836099999999995
1700057G04Rik,0.138286
1700061G19Rik,0.07697419999999999
1700063K16Rik,0.0
1700064H15Rik,0.0
1700065I16Rik,0.0
1700066B19Rik,0.0310188
1700066M21Rik,13.22099
1700067K01Rik,0.4082519
1700067P10Rik,0.0
1700069L16Rik,0.0
1700071K01Rik,0.0
1700073E17Rik,0.0
